Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad
0,0.33333333333333337,0.3207547169811322,0.18656716417910446,1,0,0.5,0.6180678117677545,2,0,0.5,0,0.0,0.5,2,3,1
0,0.33333333333333337,0.1320754716981134,0.12686567164179102,1,0,1.0,0.6180678117677545,2,1,1.0,1,1.0,0.0,1,3,1
1,0.4285714285714285,0.6603773584905661,0.2835820895522388,1,0,0.5,0.6180678117677545,2,0,0.5,0,0.6666666666666666,0.5,0,3,1
1,0.619047619047619,0.6603773584905661,0.3582089552238806,0,0,1.0,0.6180678117677545,2,0,0.5,0,0.6666666666666666,0.0,0,4,5
1,0.7142857142857143,0.3207547169811322,0.10447761194029848,0,1,0.5,0.6180678117677545,2,0,0.5,0,0.0,0.0,1,0,1
0,0.4285714285714285,0.09433962264150964,0.11940298507462688,1,1,1.0,0.6180678117677545,2,0,0.5,0,0.3333333333333333,0.0,1,2,1
1,0.3809523809523808,0.35849056603773555,0.10447761194029848,0,0,0.5,0.6180678117677545,2,0,0.5,0,1.0,0.0,1,3,1
1,0.47619047619047616,0.6226415094339623,0.18656716417910446,1,1,1.0,0.6180678117677545,2,0,0.5,0,0.3333333333333333,0.5,0,3,1
1,0.3809523809523808,0.509433962264151,0.2164179104477612,1,1,0.5,0.6180678117677545,2,0,0.5,0,0.3333333333333333,0.5,2,3,1
1,0.5714285714285715,0.7547169811320757,0.49253731343283574,1,1,1.0,0.6180678117677545,1,0,1.0,0,0.6666666666666666,1.0,1,3,2
0,0.33333333333333337,0.509433962264151,0.3059701492537313,1,1,0.5,0.6180678117677545,1,0,0.5,1,0.6666666666666666,0.5,1,3,6
1,0.3809523809523808,0.37735849056603765,0.12686567164179102,0,0,1.0,0.6180678117677545,2,0,1.0,0,0.6666666666666666,0.0,1,3,1
0,0.3809523809523808,0.4716981132075473,0.2014925373134328,1,0,1.0,0.6180678117677545,0,0,0.5,1,0.6666666666666666,0.5,1,3,1
