Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad
0,0.3333333333333333,0.3207547169811322,0.1865671641791044,1,0,0.5,0.6180678117677545,2,0,0.5,0,0.0,0.5,2,3,1
0,0.3333333333333333,0.1320754716981134,0.126865671641791,1,0,1.0,0.6180678117677545,2,1,1.0,1,1.0,0.0,1,3,1
1,0.4285714285714285,0.6603773584905661,0.2835820895522388,1,0,0.5,0.6180678117677545,2,0,0.5,0,0.6666666666666666,0.5,0,3,1
1,0.619047619047619,0.6603773584905661,0.3582089552238806,0,0,1.0,0.6180678117677545,2,0,0.5,0,0.6666666666666666,0.0,0,4,5
1,0.7142857142857143,0.3207547169811322,0.1044776119402984,0,1,0.5,0.6180678117677545,2,0,0.5,0,0.0,0.0,1,0,1
0,0.4285714285714285,0.0943396226415096,0.1194029850746268,1,1,1.0,0.6180678117677545,2,0,0.5,0,0.3333333333333333,0.0,1,2,1
1,0.3809523809523808,0.3584905660377355,0.1044776119402984,0,0,0.5,0.6180678117677545,2,0,0.5,0,1.0,0.0,1,3,1
1,0.4761904761904761,0.6226415094339623,0.1865671641791044,1,1,1.0,0.6180678117677545,2,0,0.5,0,0.3333333333333333,0.5,0,3,1
1,0.3809523809523808,0.509433962264151,0.2164179104477612,1,1,0.5,0.6180678117677545,2,0,0.5,0,0.3333333333333333,0.5,2,3,1
1,0.5714285714285715,0.7547169811320757,0.4925373134328357,1,1,1.0,0.6180678117677545,1,0,1.0,0,0.6666666666666666,1.0,1,3,2
0,0.3333333333333333,0.509433962264151,0.3059701492537313,1,1,0.5,0.6180678117677545,1,0,0.5,1,0.6666666666666666,0.5,1,3,6
1,0.3809523809523808,0.3773584905660376,0.126865671641791,0,0,1.0,0.6180678117677545,2,0,1.0,0,0.6666666666666666,0.0,1,3,1
0,0.3809523809523808,0.4716981132075473,0.2014925373134328,1,0,1.0,0.6180678117677545,0,0,0.5,1,0.6666666666666666,0.5,1,3,1
1,0.3809523809523808,0.3773584905660376,0.3059701492537313,1,0,0.5,0.6180678117677545,2,0,0.5,0,1.0,1.0,2,4,6
0,0.3809523809523808,0.3773584905660376,0.1567164179104477,1,1,1.0,0.6180678117677545,2,0,0.5,0,0.3333333333333333,0.0,1,0,1
1,0.3333333333333333,0.7547169811320757,0.2164179104477612,1,1,0.5,0.6180678117677545,2,0,0.5,0,0.0,0.5,1,3,1
1,0.238095238095238,0.5660377358490565,0.2761194029850746,1,1,1.0,0.6180678117677545,2,0,0.5,1,1.0,0.5,1,3,1
1,0.4285714285714285,0.4339622641509435,0.2313432835820895,0,1,0.5,0.6180678117677545,2,0,0.5,0,0.6666666666666666,1.0,0,4,1
0,0.4761904761904761,0.6037735849056602,0.2761194029850746,0,0,0.5,0.6180678117677545,2,0,1.0,0,0.3333333333333333,0.5,1,4,1
0,0.3333333333333333,0.0943396226415096,0.1940298507462686,1,0,0.5,0.6180678117677545,2,0,0.5,0,0.6666666666666666,1.0,1,3,6
0,0.3809523809523808,0.2075471698113209,0.0746268656716417,0,1,0.5,0.6180678117677545,2,0,0.0,1,0.6666666666666666,0.0,2,4,1
0,0.3333333333333333,0.2830188679245284,0.0671641791044775,0,1,0.5,0.6180678117677545,2,0,0.0,0,0.3333333333333333,0.0,1,3,1
1,0.4285714285714285,0.3773584905660376,0.208955223880597,1,1,0.5,0.6180678117677545,2,0,0.5,0,0.3333333333333333,0.5,1,3,1
0,0.3333333333333333,0.5660377358490565,0.3656716417910448,1,1,0.5,0.6180678117677545,2,0,1.0,0,1.0,0.0,1,3,6
0,0.3333333333333333,0.4150943396226414,0.2686567164179104,1,1,0.5,0.6180678117677545,2,0,0.5,0,0.3333333333333333,0.0,1,3,5
